Data Series,GDP At Current Market Prices
2022 1Q ,141868.5
2021 4Q ,138514.8
2021 3Q ,133636.1
2021 2Q ,132093.5
2021 1Q ,129107.5
2020 4Q ,125449.4
2020 3Q ,117771.2
2020 2Q ,107273.6
2020 1Q ,125910.6
2019 4Q ,131177.4
2019 3Q ,128651.8
2019 2Q ,126152.9
2019 1Q ,126237.8
2018 4Q ,133689.6
2018 3Q ,128914.9
2018 2Q ,124303.2
2018 1Q ,121587.4
2017 4Q ,126660.3
2017 3Q ,117351.9
2017 2Q ,114347.7
2017 1Q ,115555.8
2016 4Q ,116879.4
2016 3Q ,109801.4
2016 2Q ,107443.1
2016 1Q ,106343.1
2015 4Q ,109464.2
2015 3Q ,106226
2015 2Q ,104401.7
2015 1Q ,103352.2
2014 4Q ,103905.2
2014 3Q ,99531.6
2014 2Q ,98324.3
2014 1Q ,97186.8
2013 4Q ,99473.5
2013 3Q ,95966.9
2013 2Q ,95558.7
2013 1Q ,93871.2
2012 4Q ,94875.2
2012 3Q ,90177.1
2012 2Q ,92559.5
2012 1Q ,91158.7
2011 4Q ,90424.3
2011 3Q ,88171.1
2011 2Q ,86275.4
2011 1Q ,86497.1
2010 4Q ,86094.5
2010 3Q ,81849.2
2010 2Q ,81173.4
2010 1Q ,77863
2009 4Q ,76620
2009 3Q ,72667.9
2009 2Q ,68325.9
2009 1Q ,64780.7
2008 4Q ,66707
2008 3Q ,70075.9
2008 2Q ,68444.9
2008 1Q ,68713.8
2007 4Q ,72156.4
2007 3Q ,70005.2
2007 2Q ,66974
2007 1Q ,63562
2006 4Q ,63376.5
2006 3Q ,59703.4
2006 2Q ,57286.5
2006 1Q ,55792.4
2005 4Q ,57313.8
2005 3Q ,53712.8
2005 2Q ,51193.3
2005 1Q ,50503.1
2004 4Q ,51844.4
2004 3Q ,49227.6
2004 2Q ,46731.1
2004 1Q ,46629.9
2003 4Q ,45275
2003 3Q ,42593.9
2003 2Q ,40129.5
2003 1Q ,42119.5
2002 4Q ,42377.9
2002 3Q ,41446.2
2002 2Q ,41324.7
2002 1Q ,40549.3
2001 4Q ,39813.2
2001 3Q ,39432.8
2001 2Q ,40180.2
2001 1Q ,41459.4
2000 4Q ,44367.6
2000 3Q ,42949.8
2000 2Q ,40050.2
2000 1Q ,38264.8
1999 4Q ,38677.5
1999 3Q ,37466.3
1999 2Q ,36198.8
1999 1Q ,33909.9
1998 4Q ,35739.4
1998 3Q ,35884.4
1998 2Q ,35854.7
1998 1Q ,35996.4
1997 4Q ,38781.9
1997 3Q ,38251.6
1997 2Q ,36840.4
1997 1Q ,34790.5
1996 4Q ,35913.4
1996 3Q ,33910.5
1996 2Q ,33179
1996 1Q ,32774.3
1995 4Q ,33360.3
1995 3Q ,32070.8
1995 2Q ,30105.4
1995 1Q ,28926.8
1994 4Q ,30273.1
1994 3Q ,29045
1994 2Q ,26949
1994 1Q ,26288.3
1993 4Q ,26754.9
1993 3Q ,24980.3
1993 2Q ,23633.7
1993 1Q ,22554.2
1992 4Q ,22905.1
1992 3Q ,21674.3
1992 2Q ,20381.9
1992 1Q ,19958.9
1991 4Q ,20812.1
1991 3Q ,20151.6
1991 2Q ,19058.1
1991 1Q ,18521
1990 4Q ,18805
1990 3Q ,17930.1
1990 2Q ,17087.7
1990 1Q ,16669.5
1989 4Q ,16710.4
1989 3Q ,15789.2
1989 2Q ,14854.3
1989 1Q ,13954.6
1988 4Q ,14665
1988 3Q ,13803
1988 2Q ,12854.7
1988 1Q ,12109.6
1987 4Q ,12414.5
1987 3Q ,11725.2
1987 2Q ,10982.5
1987 1Q ,10427.3
1986 4Q ,10874.3
1986 3Q ,10288
1986 2Q ,9961.4
1986 1Q ,9769
1985 4Q ,10022
1985 3Q ,10219.9
1985 2Q ,10180.7
1985 1Q ,10440.2
1984 4Q ,10904.8
1984 3Q ,10668.8
1984 2Q ,10225.8
1984 1Q ,9931
1983 4Q ,10114.7
1983 3Q ,9797.8
1983 2Q ,9329.5
1983 1Q ,8816
1982 4Q ,9100.8
1982 3Q ,8617.1
1982 2Q ,8199
1982 1Q ,8064.3
1981 4Q ,8234.1
1981 3Q ,7845.2
1981 2Q ,7298.3
1981 1Q ,6974.4
1980 4Q ,6988
1980 3Q ,6617.9
1980 2Q ,6246.6
1980 1Q ,6017.1
1979 4Q ,5849.9
1979 3Q ,5461.2
1979 2Q ,5061.6
1979 1Q ,4768.5
1978 4Q ,4980.7
1978 3Q ,4695.8
1978 2Q ,4376.8
1978 1Q ,4284.1
1977 4Q ,4344.2
1977 3Q ,4172.4
1977 2Q ,3963.1
1977 1Q ,3873.5
1976 4Q ,3991.6
1976 3Q ,3846.5
1976 2Q ,3620.2
1976 1Q ,3545.1
1975 4Q ,3693
1975 3Q ,3519.3
1975 2Q ,3307
1975 1Q ,3209.4
