Date,Data Series,Total Unemployment Rate
2021-01-01,2021,2.7
2020-01-01,2020,2.9
2019-01-01,2019,2.3
2018-01-01,2018,2.1
2017-01-01,2017,2.2
2016-01-01,2016,2.1
2015-01-01,2015,2.0
2014-01-01,2014,1.9
2013-01-01,2013,2.0
2012-01-01,2012,1.9
2011-01-01,2011,2.0
2010-01-01,2010,2.2
2009-01-01,2009,3.2
2008-01-01,2008,2.2
2007-01-01,2007,2.3
2006-01-01,2006,2.7
2005-01-01,2005,3.3
2004-01-01,2004,3.6
2003-01-01,2003,3.6
2002-01-01,2002,3.4
2001-01-01,2001,2.2
2000-01-01,2000,3.4
1999-01-01,1999,2.7
1998-01-01,1998,1.9
1997-01-01,1997,1.4
1996-01-01,1996,1.8
1995-01-01,1995,1.9
1994-01-01,1994,1.6
1993-01-01,1993,1.8
1992-01-01,1992,1.8
